2.69298202372	[0.25, 0.8304820237218405, 0.0625, 1.5, 0.05]	[1.0, 3.321928094887362, 0.25, 6.0, 0.2]	4	7
2.41381535706	[0.25, 0.8304820237218405, 0.08333333333333333, 1.0, 0.25]	[1.0, 3.321928094887362, 0.3333333333333333, 4.0, 1.0]	6	8
2.39897581857	[0.25, 0.5239758185723462, 0.0625, 1.5, 0.0625]	[1.0, 2.095903274289385, 0.25, 6.0, 0.25]	1	4
2.38647581857	[0.25, 0.5239758185723462, 0.0625, 1.5, 0.05]	[1.0, 2.095903274289385, 0.25, 6.0, 0.2]	2	6
2.37814248524	[0.25, 0.5239758185723462, 0.0625, 1.5, 0.041666666666666664]	[1.0, 2.095903274289385, 0.25, 6.0, 0.16666666666666666]	2	8
1.98230915191	[0.25, 0.5239758185723462, 0.08333333333333333, 1.0, 0.125]	[1.0, 2.095903274289385, 0.3333333333333333, 4.0, 0.5]	1	7
1.73230915191	[0.25, 0.5239758185723462, 0.08333333333333333, 0.75, 0.125]	[1.0, 2.095903274289385, 0.3333333333333333, 3.0, 0.5]	2	5
1.73230915191	[0.25, 0.5239758185723462, 0.08333333333333333, 0.75, 0.125]	[1.0, 2.095903274289385, 0.3333333333333333, 3.0, 0.5]	3	4
1.5	[0.0, 0.0, 0.0, 1.5, 0.0]	[0.0, 0.0, 0.0, 6.0, 0.0]	2	7
1.5	[0.0, 0.0, 0.0, 1.5, 0.0]	[0.0, 0.0, 0.0, 6.0, 0.0]	4	8
1.44064248524	[0.25, 0.5239758185723462, 0.125, 0.5, 0.041666666666666664]	[1.0, 2.095903274289385, 0.5, 2.0, 0.16666666666666666]	1	3
1.43022581857	[0.25, 0.5239758185723462, 0.125, 0.5, 0.03125]	[1.0, 2.095903274289385, 0.5, 2.0, 0.125]	5	6
1.0	[0.0, 0.0, 0.0, 1.0, 0.0]	[0.0, 0.0, 0.0, 4.0, 0.0]	1	6
0.5	[0.0, 0.0, 0.0, 0.5, 0.0]	[0.0, 0.0, 0.0, 2.0, 0.0]	1	5
0.5	[0.0, 0.0, 0.0, 0.5, 0.0]	[0.0, 0.0, 0.0, 2.0, 0.0]	3	8
0.5	[0.0, 0.0, 0.0, 0.5, 0.0]	[0.0, 0.0, 0.0, 2.0, 0.0]	3	7
0.5	[0.0, 0.0, 0.0, 0.5, 0.0]	[0.0, 0.0, 0.0, 2.0, 0.0]	3	6
0.5	[0.0, 0.0, 0.0, 0.5, 0.0]	[0.0, 0.0, 0.0, 2.0, 0.0]	5	8
0.5	[0.0, 0.0, 0.0, 0.5, 0.0]	[0.0, 0.0, 0.0, 2.0, 0.0]	5	7
0.25	[0.0, 0.0, 0.0, 0.25, 0.0]	[0.0, 0.0, 0.0, 1.0, 0.0]	3	5
