1.76198801581	[0.16666666666666666, 0.5536546824812271, 0.041666666666666664, 1.0]	[1.0, 3.321928094887362, 0.25, 6.0]	4	7
1.55765054571	[0.16666666666666666, 0.34931721238156416, 0.041666666666666664, 1.0]	[1.0, 2.095903274289385, 0.25, 6.0]	1	4
1.55765054571	[0.16666666666666666, 0.34931721238156416, 0.041666666666666664, 1.0]	[1.0, 2.095903274289385, 0.25, 6.0]	2	6
1.55765054571	[0.16666666666666666, 0.34931721238156416, 0.041666666666666664, 1.0]	[1.0, 2.095903274289385, 0.25, 6.0]	2	8
1.44254357137	[0.16666666666666666, 0.5536546824812271, 0.05555555555555555, 0.6666666666666666]	[1.0, 3.321928094887362, 0.3333333333333333, 4.0]	6	8
1.23820610127	[0.16666666666666666, 0.34931721238156416, 0.05555555555555555, 0.6666666666666666]	[1.0, 2.095903274289385, 0.3333333333333333, 4.0]	1	7
1.0715394346	[0.16666666666666666, 0.34931721238156416, 0.05555555555555555, 0.5]	[1.0, 2.095903274289385, 0.3333333333333333, 3.0]	2	5
1.0715394346	[0.16666666666666666, 0.34931721238156416, 0.05555555555555555, 0.5]	[1.0, 2.095903274289385, 0.3333333333333333, 3.0]	3	4
1.0	[0.0, 0.0, 0.0, 1.0]	[0.0, 0.0, 0.0, 6.0]	2	7
1.0	[0.0, 0.0, 0.0, 1.0]	[0.0, 0.0, 0.0, 6.0]	4	8
0.932650545715	[0.16666666666666666, 0.34931721238156416, 0.08333333333333333, 0.3333333333333333]	[1.0, 2.095903274289385, 0.5, 2.0]	1	3
0.932650545715	[0.16666666666666666, 0.34931721238156416, 0.08333333333333333, 0.3333333333333333]	[1.0, 2.095903274289385, 0.5, 2.0]	5	6
0.666666666667	[0.0, 0.0, 0.0, 0.6666666666666666]	[0.0, 0.0, 0.0, 4.0]	1	6
0.333333333333	[0.0, 0.0, 0.0, 0.3333333333333333]	[0.0, 0.0, 0.0, 2.0]	1	5
0.333333333333	[0.0, 0.0, 0.0, 0.3333333333333333]	[0.0, 0.0, 0.0, 2.0]	3	8
0.333333333333	[0.0, 0.0, 0.0, 0.3333333333333333]	[0.0, 0.0, 0.0, 2.0]	3	7
0.333333333333	[0.0, 0.0, 0.0, 0.3333333333333333]	[0.0, 0.0, 0.0, 2.0]	3	6
0.333333333333	[0.0, 0.0, 0.0, 0.3333333333333333]	[0.0, 0.0, 0.0, 2.0]	5	8
0.333333333333	[0.0, 0.0, 0.0, 0.3333333333333333]	[0.0, 0.0, 0.0, 2.0]	5	7
0.166666666667	[0.0, 0.0, 0.0, 0.16666666666666666]	[0.0, 0.0, 0.0, 1.0]	3	5
