1.70240332322	[0.3010299956639812, 1.0, 0.10034333188799373, 0.3010299956639812]	[1.0, 3.321928094887362, 0.3333333333333333, 1.0]	6	8
1.43649349371	[0.3010299956639812, 1.0, 0.0752574989159953, 0.06020599913279624]	[1.0, 3.321928094887362, 0.25, 0.2]	4	7
1.18281807896	[0.3010299956639812, 0.6309297535714575, 0.10034333188799373, 0.1505149978319906]	[1.0, 2.095903274289385, 0.3333333333333333, 0.5]	1	7
1.18281807896	[0.3010299956639812, 0.6309297535714575, 0.10034333188799373, 0.1505149978319906]	[1.0, 2.095903274289385, 0.3333333333333333, 0.5]	2	5
1.18281807896	[0.3010299956639812, 0.6309297535714575, 0.10034333188799373, 0.1505149978319906]	[1.0, 2.095903274289385, 0.3333333333333333, 0.5]	3	4
1.13264641301	[0.3010299956639812, 0.6309297535714575, 0.1505149978319906, 0.050171665943996864]	[1.0, 2.095903274289385, 0.5, 0.16666666666666666]	1	3
1.12010349653	[0.3010299956639812, 0.6309297535714575, 0.1505149978319906, 0.03762874945799765]	[1.0, 2.095903274289385, 0.5, 0.125]	5	6
1.08247474707	[0.3010299956639812, 0.6309297535714575, 0.0752574989159953, 0.0752574989159953]	[1.0, 2.095903274289385, 0.25, 0.25]	1	4
1.06742324728	[0.3010299956639812, 0.6309297535714575, 0.0752574989159953, 0.06020599913279624]	[1.0, 2.095903274289385, 0.25, 0.2]	2	6
1.0573889141	[0.3010299956639812, 0.6309297535714575, 0.0752574989159953, 0.050171665943996864]	[1.0, 2.095903274289385, 0.25, 0.16666666666666666]	2	8
0.0	[0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0]	1	5
0.0	[0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0]	1	6
0.0	[0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0]	2	7
0.0	[0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0]	3	8
0.0	[0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0]	3	5
0.0	[0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0]	3	7
0.0	[0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0]	3	6
0.0	[0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0]	4	8
0.0	[0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0]	5	8
0.0	[0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0]	5	7
